productId,id,locale,existingUrl,currentUrl,slug,currentTitle,productName,category,productFamily,exactModel,productType,currentImages,existingSpecs,existingDescription,availableDocuments,primaryIndustries,materials,installationPositions,realFeatures,missingTechnicalFields,competitorResearchUrls,contentStatus,pageStatus
"rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","en","/en/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","/en/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover","RCDC type air-cooled self dumping electromagnetic iron remover","RCDC type air-cooled self dumping electromagnetic iron remover","Magnetic Separation Equipment","suspended","RCDA | RCDC","Magnetic Separation Equipment","/assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-02.png | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-03.png | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-04.png | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-10.jpg | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-06.png | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-08.png | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-09.jpg | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-05.png | /assets/products/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover-07.png","Model: RCDA | Model: RCDC","product overview： 1、 Explanation The RCDC air-cooled self dumping electromagnetic iron remover is an iron unloading mechanism composed of a drive motor, a drum, and an iron unloading tape with a scraper added to the RCDA series iron remover. During the","None found in static product record","General iron removal equipment","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcde-type-oil-cooled-electromagnetic-iron-remover","rcde-type-oil-cooled-electromagnetic-iron-remover","en","/en/products/rcde-type-oil-cooled-electromagnetic-iron-remover","/en/products/rcde-type-oil-cooled-electromagnetic-iron-remover","rcde-type-oil-cooled-electromagnetic-iron-remover","RCDE type oil cooled electromagnetic iron remover","RCDE type oil cooled electromagnetic iron remover","Magnetic Separation Equipment","suspended","RCDE","Magnetic Separation Equipment","/assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-01.jpg | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-01.jpg | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-04.png | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-03.png | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-07.png | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-02.png | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-06.png | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-05.png | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-08.jpg | /assets/products/rcde-type-oil-cooled-electromagnetic-iron-remover/rcde-type-oil-cooled-electromagnetic-iron-remover-09.jpg","Model: RCDE","product overview： 1、 Explanation The RCDE oil cooled electromagnetic iron remover adopts advanced internal and external oil circulation heat dissipation pipe design and unique winding technology of internal excitation coil. It has a fully sealed structure and","None found in static product record","General iron removal equipment","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","en","/en/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","/en/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover","RCDF oil cooled self dumping electromagnetic iron remover","RCDF oil cooled self dumping electromagnetic iron remover","Magnetic Separation Equipment","suspended","RCDE | RCDF","Magnetic Separation Equipment","/assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-02.png | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-03.png | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-04.png | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-07.png | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-05.png | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-08.jpg | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-09.jpg | /assets/products/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover-06.png","Model: RCDE | Model: RCDF","product overview： 1、 Explanation The RCDF oil cooled self dumping electromagnetic iron remover is an iron unloading mechanism composed of a drive motor, a drum, and an iron unloading tape with a scraper added to the RCDE series iron remover. It has the","None found in static product record","General iron removal equipment","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","en","/en/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","/en/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","RCDFJ type forced oil circulation self dumping electromagnetic iron remover","Magnetic Separation Equipment","suspended","RCDFJ","Magnetic Separation Equipment","/assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-01.jpg | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-02.png | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-03.png | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-04.png | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-05.png | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-07.png | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-08.jpg | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-09.jpg | /assets/products/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover-06.png","Model: RCDFJ","product overview： 1、 Explanation The RCDFJ type forced oil circulation self dumping electromagnetic iron remover is suitable for places with particularly high requirements for iron removal, such as coal transportation ports, large thermal power plants, and","None found in static product record","General iron removal equipment | coal | power plant","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcps-self-dumping-disc-type-permanent-magnet-iron-remover","rcps-self-dumping-disc-type-permanent-magnet-iron-remover","en","/en/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover","/en/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover","rcps-self-dumping-disc-type-permanent-magnet-iron-remover","RCPS self dumping disc type permanent magnet iron remover","RCPS self dumping disc type permanent magnet iron remover","Magnetic Separation Equipment","suspended","RCPS","Magnetic Separation Equipment","/assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-01.jpg | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-01.jpg | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-02.png | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-05.png | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-03.png | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-04.png | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-06.jpg | /assets/products/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/rcps-self-dumping-disc-type-permanent-magnet-iron-remover-07.jpg","Model: RCPS","product overview： 1、 Explanation The RCPS self dumping disc type permanent magnet iron remover is an efficient iron remover developed by our company. The internal magnetic materials of this device are all made of high-strength rare earth ""neodymium iron boron","None found in static product record","General iron removal equipment | ore","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rct-type-fully-magnetic-drum","rct-type-fully-magnetic-drum","en","/en/products/rct-type-fully-magnetic-drum","/en/products/rct-type-fully-magnetic-drum","rct-type-fully-magnetic-drum","RCT type fully magnetic drum","RCT type fully magnetic drum","Magnetic Separation Equipment","mineral-processing","AD-80 | RCT | RCTG | TD-75","Magnetic Separation Equipment","/assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-01.jpg | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-01.jpg | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-02.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-06.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-03.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-08.jpg | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-05.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-04.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-07.jpg | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-09.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-10.png | /assets/products/rct-type-fully-magnetic-drum/rct-type-fully-magnetic-drum-11.png","Model: AD-80 | Model: RCT | Model: RCTG | Model: TD-75","product overview： 1、 Explanation RCT type fully magnetic drum is equivalent to RCTG series, also known as magnetic pulley or dry bulk magnetic separator. It uses high-performance strong magnetic materials internally to form a strong magnetic system, which has","None found in static product record","General iron removal equipment | Metal industry magnetic separation equipment | cement | chemical | mining","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcya-type-inclined-pipeline-permanent-magnet-iron-remover","rcya-type-inclined-pipeline-permanent-magnet-iron-remover","en","/en/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover","/en/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover","rcya-type-inclined-pipeline-permanent-magnet-iron-remover","RCYA type inclined pipeline permanent magnet iron remover","RCYA type inclined pipeline permanent magnet iron remover","Magnetic Separation Equipment","filtering","RCYA | RCYA1 | RCYA2","Magnetic Separation Equipment","/assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-01.jpg | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-01.jpg | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-02.png | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-06.png | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-03.png | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-04.png | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-05.png | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-08.jpg | /assets/products/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/rcya-type-inclined-pipeline-permanent-magnet-iron-remover-07.jpg","Model: RCYA | Model: RCYA1 | Model: RCYA2","product overview： 1、 Explanation The RCYA inclined pipeline permanent magnet iron remover is divided into two types: RCYAl and RCYA2, which include non-magnetic pipelines and permanent magnets. It is specially designed for removing non-magnetic materials in","None found in static product record","General iron removal equipment | cement | coal | chemical","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcydii-type-permanent-magnet-self-dumping-iron-remover","rcydii-type-permanent-magnet-self-dumping-iron-remover","en","/en/products/rcydii-type-permanent-magnet-self-dumping-iron-remover","/en/products/rcydii-type-permanent-magnet-self-dumping-iron-remover","rcydii-type-permanent-magnet-self-dumping-iron-remover","RCYDII type permanent magnet self dumping iron remover","RCYDII type permanent magnet self dumping iron remover","Magnetic Separation Equipment","suspended","RCYD | RCYDII","Magnetic Separation Equipment","/assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-01.jpg | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-01.jpg | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-02.png | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-03.png | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-07.png | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-04.png | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-09.jpg | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-06.png | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-05.png | /assets/products/rcydii-type-permanent-magnet-self-dumping-iron-remover/rcydii-type-permanent-magnet-self-dumping-iron-remover-08.jpg","Model: RCYD | Model: RCYDII","product overview： 1、 Explanation Compared with the RCYD type permanent magnet self dumping iron remover, the RCYDII type permanent magnet self dumping iron remover has a shorter frame and is suitable for situations where installation space is limited. It is","None found in static product record","General iron removal equipment | ore","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcye-type-permanent-magnet-self-dumping-iron-remover","rcye-type-permanent-magnet-self-dumping-iron-remover","en","/en/products/rcye-type-permanent-magnet-self-dumping-iron-remover","/en/products/rcye-type-permanent-magnet-self-dumping-iron-remover","rcye-type-permanent-magnet-self-dumping-iron-remover","RCYE type permanent magnet self dumping iron remover","RCYE type permanent magnet self dumping iron remover","Magnetic Separation Equipment","suspended","","Magnetic Separation Equipment","/assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-01.jpg | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-01.jpg | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-02.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-03.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-06.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-04.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-05.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-08.jpg | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-07.jpg | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-09.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-10.png | /assets/products/rcye-type-permanent-magnet-self-dumping-iron-remover/rcye-type-permanent-magnet-self-dumping-iron-remover-11.png","","product overview： 1、 Explanation This machine uses high-strength rare earth neodymium iron boron to form a strong magnetic core, which has a strong magnetic field and high magnetic field gradient. Suitable for installation in narrow spaces with limited space,","None found in static product record","General iron removal equipment | Metal industry magnetic separation equipment | ore","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","en","/en/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","/en/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","rcyf-type-vertical-pipeline-permanent-magnet-iron-remover","RCYF type vertical pipeline permanent magnet iron remover","RCYF type vertical pipeline permanent magnet iron remover","Magnetic Separation Equipment","filtering","RCYF","Magnetic Separation Equipment","/assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-01.jpg | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-01.jpg | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-02.png | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-03.png | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-06.png | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-04.png | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-07.jpg | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-05.png | /assets/products/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover-08.jpg","Model: RCYF","product overview： 1、 Explanation The RCYF vertical pipeline permanent magnet iron remover is suitable for removing iron from powdered, granular, and block materials in industries such as cement, building materials, chemical, grain, plastics, coal, refractory","None found in static product record","General iron removal equipment | cement | coal | chemical","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","en","/en/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","/en/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover","RCYG type pipeline self dumping permanent magnet iron remover","RCYG type pipeline self dumping permanent magnet iron remover","Magnetic Separation Equipment","filtering","RCYG","Magnetic Separation Equipment","/assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-01.jpg | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-01.jpg | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-02.png | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-03.png | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-06.png | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-04.png | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-07.jpg | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-08.jpg | /assets/products/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover-05.png","Installation position: the lower outlet of the bucket elevator. | Model: RCYG","product overview： 1、 Explanation The RCYG pipeline self dumping permanent magnet iron remover is a high-performance automated iron removal equipment independently developed by our company. This equipment is mainly used for iron removal of cement, water slag,","None found in static product record","General iron removal equipment | cement | food | chemical | ceramic | glass | ore","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical source review required before display","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
"rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","en","/en/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","/en/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","RCYP type permanent magnet manual self dumping iron remover","RCYP type permanent magnet manual self dumping iron remover","Magnetic Separation Equipment","suspended","RCYP","Magnetic Separation Equipment","/assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-01.jpg | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-01.jpg | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-02.png | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-03.png | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-06.png | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-04.png | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-08.jpg | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-05.png | /assets/products/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover-07.jpg","Model: RCYP","product overview： 1、 Explanation The RCYP type permanent magnet manual self dumping iron remover is suitable for situations where the conveyor belt is narrow, the material is thin, and there is less impurity iron. This machine has a simple structure, reliable","None found in static product record","General iron removal equipment","To be confirmed from project material and current technical record","To be confirmed from process layout","Existing source content requires technical review before use","Technical values beyond model reference: confirm from current datasheet or supplier record","docs/product-content/competitor-research.md","detail-template-live / technical review needed","published"
