productId,productName,productFamily,missingTechnicalFields
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctzs-type-upward-suction-magnetic-separator","CTZS type upward suction magnetic separator","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hcg-type-dry-pre-selection-machine","HCG type dry pre selection machine","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hjlh-type-vertical-ring-high-gradient-magnetic-separation","HJLH type vertical ring high gradient magnetic separation","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ljk-type-magnetic-ore-special-iron-remover","LJK type magnetic ore special iron remover","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"nct-type-concentrated-magnetic-separator","NCT type concentrated magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"wbc-semi-magnetic-tailings-recovery-machine","WBC semi magnetic tailings recovery machine","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hmdn-coal-washing-special-magnetic-separator","HMDN coal washing special magnetic separator","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"suspended-permanent-magnetic-separator","Suspended Permanent Magnetic Separator","suspended","Technical source review required before display"
"suspended-electromagnetic-conveyor-belt-separator","Suspended Electromagnetic Conveyor Belt Separator","suspended","Technical source review required before display"
"dls-type-window-metal-detector","DLS type window metal detector","metal-detection","Technical values beyond model reference: confirm from current datasheet or supplier record"
"gjt-type-window-metal-detector","GJT type window metal detector","metal-detection","Technical source review required before display"
"hecp-eddy-current-metal-sorting-machine","HECP eddy current metal sorting machine","recycling-sorting","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hecs-type-eddy-current-metal-sorting-machine","HECS type eddy current metal sorting machine","recycling-sorting","Technical values beyond model reference: confirm from current datasheet or supplier record"
"drum-magnet","Drum Magnet","mineral-processing","Technical values beyond model reference: confirm from current datasheet or supplier record"
"eccentric-eddy-current-separator","Eccentric Eddy Current Separator","recycling-sorting","Technical source review required before display"
"electromagnet-separator","Electromagnet Separator","suspended","Technical source review required before display"
"magnetic-head-pulley","Magnetic Head Pulley","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"permanent-overband-magnetic-separator","Permanent Overband Magnetic Separator","suspended","Technical source review required before display"
"stainless-steel-separation-conveyor","Stainless Steel Separation Conveyor","recycling-sorting","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","filtering","Technical source review required before display"
"clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","filtering","Technical source review required before display"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"clc-type-slot-magnetic-filter","CLC type slot magnetic filter","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"dhd-type-roller-type-automatic-magnetic-separator","DHD type roller type automatic magnetic separator","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"dhj-type-strong-roller-automatic-magnetic-separator","DHJ type strong roller automatic magnetic separator","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"qcg-wet-roller-magnetic-separator","QCG wet roller magnetic separator","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"drawer-magnet","Drawer Magnet","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"hump-magnet","Hump Magnet","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"magnetic-grid","Magnetic Grid","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"magnetic-rod","Magnetic Rod","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"magnetic-trap","Magnetic Trap","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rotary-pipe-magnet","Rotary Pipe Magnet","filtering","Technical values beyond model reference: confirm from current datasheet or supplier record"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","filtering","Technical source review required before display"
"high-frequency-screen","High Frequency Screen","suspended","Technical values beyond model reference: confirm from current datasheet or supplier record"
"kgla-series-rectifier-control-box","KGLA series rectifier control box","explosion-control","Technical values beyond model reference: confirm from current datasheet or supplier record"
"kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box","KXB mining explosion-proof electromagnetic iron remover control box","explosion-control","Technical values beyond model reference: confirm from current datasheet or supplier record"
"qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box","QJZ mining explosion-proof permanent magnet iron remover control box","explosion-control","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover","RBCDB explosion-proof disc type electromagnetic iron remover","explosion-control","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover","RBCDD explosion-proof electromagnetic self dumping iron remover","explosion-control","Technical values beyond model reference: confirm from current datasheet or supplier record"
"rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover","RBCYD explosion-proof permanent magnet self dumping iron remover","explosion-control","Technical values beyond model reference: confirm from current datasheet or supplier record"
"round-electromagnetic-lifting-magnet","Round Electromagnetic Lifting Magnet","lifting","Technical source review required before display"
