slug,published_at_before,published_at_after,action,title,validation
"electromagnetic-separator-pls-plugs-into-lithium-strength-to-cap-off-record-year","2026-07-31T00:00:00.000Z","2026-07-31","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-electronic-waste-recycling-market-to-reach-us-76-92-billion-openpr-com","2026-07-31T00:00:00.000Z","2026-07-31","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to building a useful site-information checklist","passed"
"electromagnetic-separator-new-director-joins-core-lithium-ahead-of-finniss-production","2026-07-27T00:00:00.000Z","2026-07-27","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-an-alarming-improvement-with-eriez-quarrymagazine-com","2026-07-27T00:00:00.000Z","2026-07-27","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to the handoff between operations, maintenance","passed"
"electromagnetic-separator-permitting-reform-key-to-challenging-china-and-8217-s-critical-m","2026-07-27T00:00:00.000Z","2026-07-27","rewritten-noindex-source-gap","Electromagnetic: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-hygienic-and-sanitary-weighing-solutions-for-food-safety","2026-07-26T00:00:00.000Z","2026-07-26","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to distinguishing equipment protection from material recovery","passed"
"magnetic-separation-magnetic-iron-separator-market-growth-outlook-to-2035-automation-and-r","2026-07-25T00:00:00.000Z","2026-07-25","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to how feed variation changes the selection conversation","passed"
"electromagnetic-separator-chicken-noodle-soup-recalled-because-of-lack-of-import-reinspect","2026-07-25T00:00:00.000Z","2026-07-25","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to building a useful site-information checklist","passed"
"magnetic-separation-hastings-technology-metals-advances-thailand-rare-earth-processing-pla","2026-07-24T00:00:00.000Z","2026-07-24","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"magnetic-separation-canada-nickel-adds-ninth-resource-in-timmins-nickel-district","2026-07-24T00:00:00.000Z","2026-07-24","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"magnetic-bars-components-reducing-food-waste-before-it-reaches-the-drain-a-process-enginee","2026-07-24T00:00:00.000Z","2026-07-24","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to process position and material path","passed"
"magnetic-separation-nsw-coal-cuts-emissions-faster-than-any-other-sector","2026-07-24T00:00:00.000Z","2026-07-24","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"magnetic-separation-france-mining-conveyor-system-market-analysis-forecast-size-trends-and","2026-07-13T00:00:00.000Z","2026-07-13","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to the handoff between operations, maintenance","passed"
"electromagnetic-separator-uk-invests-50m-to-build-critical-minerals-supply-chain-mining-di","2026-07-12T00:00:00.000Z","2026-07-12","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-nigeria-opens-west-africa-s-largest-lithium-processing-plant-to-streng","2026-07-12T00:00:00.000Z","2026-07-12","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"magnetic-separation-cyclic-materials-to-build-82m-rare-earth-recycling-plant-in-south-caro","2026-07-12T00:00:00.000Z","2026-07-12","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to building a useful site-information checklist","passed"
"magnetic-bars-components-latest-news-in-the-food-and-beverage-industry","2026-07-12T00:00:00.000Z","2026-07-12","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to distinguishing equipment protection from material recovery","passed"
"magnetic-separation-managing-hydrogen-sulfide-challenges-in-u-s-landfills","2026-07-11T00:00:00.000Z","2026-07-11","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to the handoff between operations, maintenance and procurement","passed"
"electromagnetic-separator-contamination-with-hepatitis-a-and-salmonella-among-fda-s-import","2026-07-11T00:00:00.000Z","2026-07-11","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to process position and material path","passed"
"magnetic-separation-robotics-enhances-scrap-metal-sorting-with-high-precision-recycling-pr","2026-07-11T00:00:00.000Z","2026-07-11","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to process position and material path","passed"
"electromagnetic-separator-larvotto-locks-in-blockade-copper-mine-after-drilling-confirms-g","2026-07-11T00:00:00.000Z","2026-07-11","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-new-industrial-sorting-systems-based-on-laser-spectroscopy-libs-magnet","2026-07-10T00:00:00.000Z","2026-07-10","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-mining-conveyor-system-market-forecast-points-higher-toward-2035-drive","2026-07-10T00:00:00.000Z","2026-07-10","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to the information needed before a configuratio","passed"
"magnetic-separation-un-to-help-kazakhstan-recover-precious-metals-from-electronic-waste-ku","2026-07-10T00:00:00.000Z","2026-07-10","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-extracting-critical-minerals-from-america-s-coal-waste-tailings-discov","2026-07-10T00:00:00.000Z","2026-07-10","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to building a useful site-information checklist","passed"
"electromagnetic-separator-creating-mining-districts-could-unlock-billions-in-value-study","2026-07-09T00:00:00.000Z","2026-07-09","rewritten-noindex-source-gap","Electromagnetic: A Guide to building a useful site-information checklist","passed"
"magnetic-separation-casella-waste-systems-inc-announces-executive-leadership-appointments","2026-07-08T00:00:00.000Z","2026-07-08","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to how feed variation changes the selection conversation","passed"
"electromagnetic-separator-fenix-crushes-quarter-with-record-shipping-performance","2026-07-08T00:00:00.000Z","2026-07-08","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-bars-components-fsa-research-targets-campylobacter-reduction","2026-07-08T00:00:00.000Z","2026-07-08","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-worker-falls-30-feet-at-cement-plant","2026-07-08T00:00:00.000Z","2026-07-08","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to the handoff between operations, maintenance","passed"
"magnetic-separation-national-waste-and-recycling-foundation-s-skip-the-bin-turn-your-batte","2026-07-05T00:00:00.000Z","2026-07-05","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to process position and material path","passed"
"magnetic-separation-product-spotlight-recycling-today-2026-07-05","2026-07-05T00:00:00.000Z","2026-07-05","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-product-spotlight-recycling-today","2026-07-05T00:00:00.000Z","2026-07-05","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-us-department-of-energy-awards-75m-to-recover-critical-minerals-from-c","2026-07-05T00:00:00.000Z","2026-07-05","rewritten-noindex-source-gap","Electromagnetic: A Guide to safe installation planning around an existing line","passed"
"magnetic-bars-components-reformulation-impacts-from-the-shift-to-natural-food-dyes","2026-07-05T00:00:00.000Z","2026-07-05","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to how feed variation changes the selection conversation","passed"
"magnetic-bars-components-beef-jerky-recalled-because-of-undeclared-wheat","2026-07-04T00:00:00.000Z","2026-07-04","rewritten-noindex-source-gap","Magnetic separation: A Guide to process position and material path","passed"
"electromagnetic-separator-silver-mines-moves-bowdens-closer-to-development-2026-07-04","2026-07-04T00:00:00.000Z","2026-07-04","rewritten-noindex-source-gap","Electromagnetic: A Guide to building a useful site-information checklist","passed"
"electromagnetic-separator-silver-mines-moves-bowdens-closer-to-development","2026-07-04T00:00:00.000Z","2026-07-04","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"electromagnetic-separator-us-deep-sea-mineral-processing-plant-planned-by-glomar-australia","2026-07-03T00:00:00.000Z","2026-07-03","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"electromagnetic-separator-us-based-atlantic-strategic-minerals-confirms-demo-rare-earths-p","2026-07-03T00:00:00.000Z","2026-07-03","rewritten-noindex-source-gap","Electromagnetic: A Guide to the information needed before a configuration discussion","passed"
"magnetic-separation-improving-bulk-material-handling-through-automation","2026-07-02T00:00:00.000Z","2026-07-02","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to distinguishing equipment protection from mat","passed"
"magnetic-separation-colorado-compels-automakers-to-own-ev-battery-recycling-and-reclaim-cr","2026-07-02T00:00:00.000Z","2026-07-02","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to how feed variation changes the selection conversation","passed"
"electromagnetic-separator-koryx-copper-wins-analyst-support-after-namibia-assays","2026-07-02T00:00:00.000Z","2026-07-02","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-weir-lands-major-slurry-pump-order-in-india","2026-07-01T00:00:00.000Z","2026-07-01","rewritten-noindex-source-gap","Electromagnetic: A Guide to building a useful site-information checklist","passed"
"magnetic-separation-prima-deshecha-landfill-earns-cal-vpp-star-certification","2026-07-01T00:00:00.000Z","2026-07-01","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to the information needed before a configuration discussion","passed"
"electromagnetic-separator-how-arafura-and-8217-s-nolans-project-became-absolutely-critical","2026-07-01T00:00:00.000Z","2026-07-01","rewritten-noindex-source-gap","Electromagnetic: A Guide to safe installation planning around an existing line","passed"
"electromagnetic-separator-cereulide-incident-and-deadly-listeria-outbreak-highlighted-in-a","2026-07-01T00:00:00.000Z","2026-07-01","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-tomra-recycling-unveils-finder-color-next-generation-color-sorting-for","2026-06-30T00:00:00.000Z","2026-06-30","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to safe installation planning around an existing line","passed"
"electromagnetic-separator-greatland-targets-multi-decade-future-at-telfer-havieron","2026-06-30T00:00:00.000Z","2026-06-30","rewritten-noindex-source-gap","Electromagnetic: A Guide to the information needed before a configuration discussion","passed"
"magnetic-bars-components-plant-based-food-brand-recalls-2-products","2026-06-30T00:00:00.000Z","2026-06-30","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-tactical-resources-eyes-nasdaq-debut-as-texas-rare-earths-project-adva","2026-06-29T00:00:00.000Z","2026-06-29","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"electromagnetic-separator-us-army-opens-bases-to-critical-minerals-plants-miningmx","2026-06-29T00:00:00.000Z","2026-06-29","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"electromagnetic-separator-thiess-adds-fourth-liebherr-r-9800-in-queensland","2026-06-29T00:00:00.000Z","2026-06-29","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-focus-on-app-and-hardware-update-steinert-metal-and-waste-sorting-solu","2026-06-29T00:00:00.000Z","2026-06-29","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-gfl-environmental-inc-announces-proposed-private-offering-of-senior-no","2026-06-28T00:00:00.000Z","2026-06-28","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to safe installation planning around an existin","passed"
"magnetic-separation-wmw-metal-recycling-waste-sorting-excellence-conservit-s-path-to-high","2026-06-28T00:00:00.000Z","2026-06-28","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to how feed variation changes the selection conversation","passed"
"electromagnetic-separator-fda-imposes-stricter-import-controls-because-of-pesticides-salmo","2026-06-28T00:00:00.000Z","2026-06-28","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to process position and material path","passed"
"electromagnetic-separator-leadership-change-signals-covalent-and-8217-s-next-growth-phase","2026-06-28T00:00:00.000Z","2026-06-28","rewritten-noindex-source-gap","Electromagnetic: A Guide to safe installation planning around an existing line","passed"
"electromagnetic-separator-food-industry-report-reveals-rising-pay-top-concerns","2026-06-27T00:00:00.000Z","2026-06-27","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-plastics-unscripted-the-state-of-plastics","2026-06-27T00:00:00.000Z","2026-06-27","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to maintenance access and routine cleaning","passed"
"electromagnetic-separator-infographic-canada-s-miners-are-blue-collar-wage-leaders","2026-06-27T00:00:00.000Z","2026-06-27","rewritten-noindex-source-gap","Electromagnetic: A Guide to distinguishing equipment protection from material recovery","passed"
"magnetic-separation-wear-liner-impact-plate-market-forecast-to-2035-replacement-demand-fro","2026-06-27T00:00:00.000Z","2026-06-27","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to the handoff between operations, maintenance","passed"
"electromagnetic-separator-wa-urged-to-seize-100-billion-critical-minerals-opportunity","2026-06-25T00:00:00.000Z","2026-06-25","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"magnetic-bars-components-restaurant-inspection-data-may-help-strengthen-foodborne-illness","2026-06-25T00:00:00.000Z","2026-06-25","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-bars-components-icf-system-for-food-environments","2026-06-24T00:00:00.000Z","2026-06-24","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to distinguishing equipment protection from material recovery","passed"
"magnetic-separation-waste-world-episode-68-todd-ellis-on-building-a-better-battery-recycli","2026-06-24T00:00:00.000Z","2026-06-24","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to safe installation planning around an existing line","passed"
"electromagnetic-separator-newmont-and-8217-s-red-chris-underground-expansion-gets-regulato","2026-06-24T00:00:00.000Z","2026-06-24","rewritten-noindex-source-gap","Electromagnetic: A Guide to building a useful site-information checklist","passed"
"magnetic-separation-sustainable-building-materials-company-ceo-on-equipment-choices","2026-06-19T00:00:00.000Z","2026-06-19","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to how feed variation changes the selection con","passed"
"electromagnetic-separator-rinehart-s-1b-spacex-bet-targets-mining-beyond-earth","2026-06-19T00:00:00.000Z","2026-06-19","rewritten-noindex-source-gap","Electromagnetic: A Guide to distinguishing equipment protection from material recovery","passed"
"magnetic-separation-casella-s-roadmap-for-renewable-energy-and-driving-a-circular-economy","2026-06-19T00:00:00.000Z","2026-06-19","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to distinguishing equipment protection from material recovery","passed"
"electromagnetic-separator-sandvik-achieves-record-operating-hours-on-leopard-di650i","2026-06-19T00:00:00.000Z","2026-06-19","rewritten-noindex-source-gap","Electromagnetic: A Guide to safe installation planning around an existing line","passed"
"electromagnetic-separator-publisher-s-platform-fda-s-byheart-inspection-report-is-finally","2026-06-17T00:00:00.000Z","2026-06-17","rewritten-noindex-source-gap","Electromagnetic: A Guide to safe installation planning around an existing line","passed"
"magnetic-separation-wmw-setting-new-standards-in-scrap-recycling-hudei-metals-leads-india","2026-06-17T00:00:00.000Z","2026-06-17","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to building a useful site-information checklist","passed"
"electromagnetic-separator-barminco-selects-sandvik-for-23-unit-bellevue-gold-project-fleet","2026-06-16T00:00:00.000Z","2026-06-16","rewritten-noindex-source-gap","Electromagnetic: A Guide to distinguishing equipment protection from material recovery","passed"
"magnetic-bars-components-nestl-removes-all-artificial-food-dyes-from-us-products","2026-06-16T00:00:00.000Z","2026-06-16","rewritten-noindex-source-gap","Magnetic bars, grates: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-cirba-solutions-collaborates-with-industry-coalition-behind-colorado-s","2026-06-16T00:00:00.000Z","2026-06-16","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to process position and material path","passed"
"magnetic-separation-prospare-enhance-conveyor-efficiency-at-uk-cement-plant-agg-net","2026-06-14T00:00:00.000Z","2026-06-14","rewritten-noindex-source-gap","Suspended magnetic separators for conveyor protection: A Guide to process position and material path","passed"
"electromagnetic-separator-indonesia-raids-gold-company-in-1-4b-laundering-probe","2026-06-13T00:00:00.000Z","2026-06-13","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"electromagnetic-separator-mining-s-next-boom-is-off-the-map-arctic-ice-abyssal-plains-and","2026-06-13T00:00:00.000Z","2026-06-13","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"electromagnetic-separator-goldmining-pea-outlines-532m-value-10-year-life-for-s-o-jorge-pr","2026-06-12T00:00:00.000Z","2026-06-12","rewritten-noindex-source-gap","Electromagnetic: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-glencore-to-resume-emissions-spending-at-quebec-smelter","2026-06-12T00:00:00.000Z","2026-06-12","rewritten-noindex-source-gap","Electromagnetic: A Guide to process position and material path","passed"
"electromagnetic-separator-mining-m-and-038-a-value-surges-in-q1-but-deal-count-plunges-s-a","2026-06-11T00:00:00.000Z","2026-06-11","rewritten-noindex-source-gap","Electromagnetic: A Guide to building a useful site-information checklist","passed"
"magnetic-separation-recycling-entrepreneurs-among-south-african-award-winners","2026-06-10T00:00:00.000Z","2026-06-10","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-rio-tinto-ramps-up-smelter-with-recycling-tie-in","2026-06-09T00:00:00.000Z","2026-06-09","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to maintenance access and routine cleaning","passed"
"magnetic-separation-elementusa-colorado-school-of-mines-win-67m-award-for-rare-earth-proce","2026-06-09T00:00:00.000Z","2026-06-09","rewritten-noindex-source-gap","Electromagnetic: A Guide to the information needed before a configuration discussion","passed"
"magnetic-separation-stardust-power-joins-doe-backed-lithium-extraction-program","2026-06-06T00:00:00.000Z","2026-06-06","rewritten-noindex-source-gap","Electromagnetic: A Guide to the handoff between operations, maintenance and procurement","passed"
"magnetic-separation-commentary-lithium-ion-battery-fire-risks-and-mitigation-across-the-wa","2026-06-05T00:00:00.000Z","2026-06-05","rewritten-noindex-source-gap","Self-cleaning suspended magnets: A Guide to building a useful site-information checklist","passed"
